username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
gitasarisonyasinagaaa,❤️❤️❤️✌️✌️✌️,0,0,0,,
zaskia_nada_ka,Aaa ganteng nya si malaikat tampan satu ini,0,0,0,,
daha_ramdhani_,😍😍ka fero gnteng bngt,0,0,0,,
stors_shavia,Orang cerdas pilih Prabowo-gibran dong,0,0,0,,
vina.gustina.739,2,0,0,0,,
posumahjeksen,Ok gassss❤️✌️,0,0,0,,
afikaaa__auliaa,ALL IN PRABOWO GIBRAN 👏👏,0,0,0,,
iyan_mrd3,yg bilang gapunya prestasi gapunya gagasan emg kalian bisa bikin Indonesia maju? pemikiran kalian juga masih tawuran wkwk mindset kalian buruk bgt ayo dong liat prestasi pa Prabowo apaa dia aja bisa di takuti dan disegani beberapa negara,0,0,0,,
gidaltiolivia,❤️✌,0,0,0,,
moms_atazkia,✌️✌️✌️✌️✌️✌️❤️❤️❤️❤️❤️❤️❤️❤️,0,0,0,,
desyfitrianingsih_,🔥,0,0,0,,
sa_lsa3500,Anis Ganjar maf ya gak pilih my like Prabowo Gibran soryy ya,0,0,0,,
pakdegunanto,Kalau parkir air gimana sama KTP angin program orang mumet😂😂😂😂😂😂😂koplak,0,0,0,,
pakdegunanto,Ya tetep✌✌✌✌✌,0,0,0,,
its.okay11111,All IN PRABOWO GIBRAN ✌️❤️,0,0,0,,
dhiyah285,✌️✌️✌️,0,0,0,,
ptraa_lost,Modal joget sm gemoy😂,0,0,0,,
taminah923,Beautiful i love blue 02,0,0,0,,
gilan384,Aniss juga cuma bisa nhomong gaa ada gagasan yg pastii mna buktiiiiinyaaa nissss,0,0,0,,
gilan384,Polonya prabowo  yeeesss lahh aniss lewattt  jokowi goooooo mantulllll,0,0,0,,
dyah_kusuma4,Gas poll 02 ✌️🇮🇩,0,0,0,,
mulyati.eet,😍😍,0,0,0,,
indonglopulalan,✌️✌️✌️✌️✌️✌️,0,0,0,,
mayaevita_,All in Prabowo Gibran! Menyala 14 Februari 🔥,6,0,0,,
nzwaanjanii,Masa pemimpin ko yg joget2,0,0,0,,
