username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
alyadr25_,Ayang gue cakep²,0,0,0,,
eni.yulianti.5602,Prabowo Gibran menang,0,0,0,,
1ayqe.esraa,❤️❤️❤️❤️,0,0,0,,
lomah_happynoah,Nomor 2 ok gass @prabowo,1,0,0,,
renatanurhayati,Masha Allah,0,0,0,,
karmila_ali_,"Masya allah tabarakallah😍 sehat trus bapak persiden ,kami barsama mu😍❤️✌️",0,0,0,,
srnhmlw,mantap bapak ku prabowo,0,0,0,,
uj.endang,Mantap pa,0,0,0,,
rian.isav,Saya sbg rakyat jelata jg setulus hati jiwa raga mendukung bapak Prabowo yg keren bgt,0,0,0,,
annisaannisa6855,Kangen masa kampanye ❤️,0,0,0,,
abdiindah,🔥🔥🔥🔥🔥🔥🔥🔥,0,0,0,,
viralno_rek,Ganti Presiden Sik tetep Jualan Bakso Karo Lontong Kikil😂,1,0,0,,
nuyyarsaloka_,aku salfok sma mayor teddy nya 😍,0,0,0,,
fitriana.achmad.79,❤️❤️❤️❤️❤️❤️❤️❤️,0,0,0,,
joyce__cynthia,Hidup Bapak Prabowo dan Gibran rakabuming Presiden kita yang baru dan wakil Presiden kita Gibran rakabuming maju terus pantang mundur.,0,0,0,,
nelviana_putri19,Seh terus ya bapak Prabowo ku,0,0,0,,
annisadiyaaa,❤️❤️meledak😍😍😍😍,0,0,0,,
annisadiyaaa,❤️❤️❤️❤️wow,0,0,0,,
claraajah8,Prabowo teruuus,0,0,0,,
miaarchuleta19,Prabowo 💙💙💙💙💙,0,0,0,,
bintiyahmin,Lebih rame N lebih GLOWING NOMER 1😍😍😍😍,0,0,0,,
nursatrianty,Orang ganteng pada ngumpul di sini semua gimana emak² ga oleng coba 😂😂😂 prabowo presiden ku ✌🏻😍✌🏻,1,0,0,,
priaberistrimasjuli,All in 02,0,0,0,,
princesbella_93,Pokoe Prabowo Gibran menang ✌️,0,0,0,,
