username,comment,total_like,total_reply,is_reply,reply_to,parent_comment
alvinmuhammad6222,🔥🔥🔥🔥❤️😍😂,0,2,0,,
kutut7262,"@alvinmuhammad6222 GANJAR PRANOWO SAJA SALAM METAL DARI PDI PERJUANGAN, SATYAM EVA JAYATE, PDIP SOLID, PDIP BERGERAK, PDIP KUAT, PDIP PERKASA, 98%, SALAM METAL, SALAM 3 JARI, DUKUNG GANJAR PRANOWO UNTUK INDONESIA, SALAM METAL MERAH TOTAL",0,0,1,alvinmuhammad6222,🔥🔥🔥🔥❤️😍😂
kutut7262,"@alvinmuhammad6222 NEGARA ADIL, MARITIM, LESTARI. GERAK CEPAT MENUJU INDONESIA UNGGUL, GANJAR-MAHFUD UNTUK INDONESIA",0,0,1,alvinmuhammad6222,🔥🔥🔥🔥❤️😍😂
tavhir,Isep isep terus,3,2,0,,
kutut7262,"@tavhir GANJAR PRANOWO SAJA SALAM METAL DARI PDI PERJUANGAN, SATYAM EVA JAYATE, PDIP SOLID, PDIP BERGERAK, PDIP KUAT, PDIP PERKASA, 98%, SALAM METAL, SALAM 3 JARI, DUKUNG GANJAR PRANOWO UNTUK INDONESIA, SALAM METAL MERAH TOTAL",0,0,1,tavhir,Isep isep terus
kutut7262,"@tavhir NEGARA ADIL, MARITIM, LESTARI. GERAK CEPAT MENUJU INDONESIA UNGGUL, GANJAR-MAHFUD UNTUK INDONESIA",0,0,1,tavhir,Isep isep terus
ardisyaa.h,,1,1,0,,
kutut7262,"@ardisyaa.h GANJAR PRANOWO SAJA SALAM METAL DARI PDI PERJUANGAN, SATYAM EVA JAYATE, PDIP SOLID, PDIP BERGERAK, PDIP KUAT, PDIP PERKASA, 98%, SALAM METAL, SALAM 3 JARI, DUKUNG GANJAR PRANOWO UNTUK INDONESIA, SALAM METAL MERAH TOTAL",0,0,1,ardisyaa.h,
si.lathifa,Adrian Wibowo @awibowowo77  versi dewasa😮,1,0,0,,
sherrylinlove,cair ya,2,0,0,,
sherrylinlove,dih,0,0,0,,
dunyalyfe,Penyepong,1,0,0,,
arethadewia,mata batin tertutup😢,5,0,0,,
tedensikikuk,Spill rumahnyaa,3,0,0,,
bubblerarra,Asikk cair 150,5,0,0,,
lisasbun,"anjay sampe di pin, cair brp nih",11,0,0,,
jyldnlkk,Idih,5,0,0,,
cheapthriftever,CAIRRR CAIRRR JILAT TRS ASS WOWOKKK,4,0,0,,
kugy.karmachameleon,artis flop,3,0,0,,
rainn2307,Dapet brp nih????😂,5,0,0,,
inaffableee,cair cairrr,9,0,0,,
poyluccc,dapet apa sih??? udh gak laku ya sinetronnya?,13,0,0,,
poyluccc,jilat terussss sampe basah,7,0,0,,
poyluccc,gilaaaa di pin semua postnya sama presiden gagal 👏👏👏,3,1,0,,
kutut7262,@poyluccc @ganjar_pranowo @mohmahfudmd,0,0,1,poyluccc,gilaaaa di pin semua postnya sama presiden gagal 👏👏👏
karenscn_,Penasaran sama kompetensinya sbg komisaris,4,0,0,,
